,Parcel ID,Address,Sale Date,Sale Price,Qualified Sales,Reason,Acres,Parcel  Class ,Year  Built ,Square Ft ,Price Per  Square Ft ,lat,long
25,00094 000006I,2125 IMPERIAL DR,7/31/23,"$385,000.00 ",Qualified,FM,0.82,Residential,1975,2076,$185.45 ,34.3452509,-83.8170126
26,15041C000118,7569 GRAND REUNION DR,7/31/23,"$430,000.00 ",Qualified,FM,0.11,Residential,2003,2064,$208.33 ,34.1126639,-83.8624817
27,15047 002056,6845 SCARLET OAK WAY,7/31/23,"$524,900.00 ",Qualified,FM,0.15,Residential,2021,2952,$177.81 ,34.1558486,-83.9131521
28,15048F000001,6104 LIVE OAK DR,7/31/23,"$261,000.00 ",Qualified,FM,0.57,Residential,1999,1542,$169.26 ,34.1318387,-83.9031372
29,01113 005008A,1012 NW PIEDMONT WAY,7/31/23,"$250,000.00 ",Qualified,FM,0.39,Residential,1963,884,$282.81 ,34.3081692,-83.8421853
30,08076 002056,5443 RAINTREE TRCE,7/31/23,"$369,900.00 ",Qualified,FM,0.47,Residential,1980,1181,$313.21 ,34.2303545,-83.9153452
31,15042 000194,5659 PLEASANT WOODS DR,7/28/23,"$570,000.00 ",Qualified,FM,0.83,Residential,2006,3830,$148.83 ,34.1399346,-83.8674098
32,15041 000257,5812 MAPLE BLUFF WAY,7/28/23,"$562,000.00 ",Qualified,FM,0.17,Residential,2020,1691,$332.35 ,34.1085415,-83.8545296
33,15041 000324,5908 DEERBROOK CT,7/28/23,"$467,850.00 ",Qualified,FM,0.12,Residential,2019,1473,$317.62 ,34.109457,-83.855009
34,08075 002161A,5543 FOXGLOVE WAY,7/28/23,"$370,000.00 ",Qualified,FM,0.1,Residential,2019,2096,$176.53 ,34.2198161,-83.9060638
35,15047 002140,6959 WOODTRAIL RUN,7/28/23,"$425,000.00 ",Qualified,FM,0.15,Residential,2021,2253,$188.64 ,34.1557087,-83.9120762
36,15047 000167,7896 KEEPSAKE LN,7/28/23,"$422,500.00 ",Qualified,FM,0.2,Residential,2004,2388,$176.93 ,34.1366767,-83.9033235
37,10030 001001,5308 LAWSON LAKE DR,7/28/23,"$335,000.00 ",Qualified,FM,0.7,Residential,2023,1610,$208.07 ,34.393873,-83.943066
38,01025 002005,671 NW BLUERIDGE AVE,7/28/23,"$370,000.00 ",Qualified,FM,0.19,Residential,1947,1232,$300.32 ,34.3029932,-83.835515
39,10017 000174,7142 BLUEBIRD CV,7/28/23,"$614,411.00 ",Qualified,FM,0.27,Residential,2023,1996,$307.82 ,34.353592,-83.9643229
40,10094A000005,2317 FORD WHITE RD,7/28/23,"$216,000.00 ",Qualified,FM,0.18,Residential,1945,1022,$211.35 ,34.3284089,-83.8891054
41,10080 000044,4014 PONDEROSA LN,7/28/23,"$360,000.00 ",Qualified,FM,0.59,Residential,1999,1841,$195.55 ,34.3756077,-83.8912994
42,15037H000093,4522 WARWICK GLEN PL,7/28/23,"$750,000.00 ",Qualified,FM,0.57,Residential,1999,3929,$190.89 ,34.1993511,-83.8419782
43,08130 000024,6446 FORD RD,7/28/23,"$995,000.00 ",Qualified,FM,1.69,Residential,1959,1591,$625.39 ,34.1998258,-83.9534018
44,12006 000001L,5534 BRITT WHITMIRE RD,7/28/23,"$127,000.00 ",Qualified,FM,0.94,Residential,1981,992,$128.02 ,34.4462196,-83.8264406
45,10099 000126,3929 WALNUT GROVE WAY,7/28/23,"$375,000.00 ",Qualified,FM,0.34,Residential,2004,2257,$166.15 ,34.3745902,-83.8822052
46,08054 003006,4810 STEPHENS RD,7/28/23,"$440,000.00 ",Qualified,FM,0.69,Residential,1969,1584,$277.78 ,34.2417065,-83.9035097
47,10114 000053,3502 THOMPSON BND,7/27/23,"$330,000.00 ",Qualified,FM,0.72,Residential,1977,1581,$208.73 ,34.3647248,-83.862813
48,08169 003084,119 HOLIDAY RD,7/27/23,"$359,900.00 ",Qualified,FM,0.18,Residential,2004,1328,$271.01 ,34.1452155,-83.9699186
49,08041 001064,4457 LAKE FOREST DR,7/27/23,"$357,000.00 ",Qualified,FM,0.67,Residential,1971,1347,$265.03 ,34.2524684,-83.8981292
50,11016 000008E,5022 YOUNG RD,7/27/23,"$160,000.00 ",Qualified,FM,2.44,Residential,1979,1088,$147.06 ,34.4299688,-83.8491034
51,10037 000027,3482 MARINA CREST DR,7/27/23,"$660,000.00 ",Qualified,FM,0.27,Residential,2000,3758,$175.63 ,34.3240064,-83.9418839
52,10067 000053,3619 CAMERON CIR,7/27/23,"$2,468,349.00 ",Qualified,FM,0.55,Residential,2007,3526,$700.04 ,34.302365,-83.9007368
53,15039 000808,5939 GREEN ASH CT,7/27/23,"$443,920.00 ",Qualified,FM,0.17,Residential,2022,2734,$162.37 ,34.1301406,-83.8403223
54,15037F000083,4051 LYMAN WAY,7/26/23,"$437,000.00 ",Qualified,FM,0.84,Residential,1992,1939,$225.37 ,34.204605,-83.8363022
55,08078 000088,5431 MAYFLOWER CT,7/26/23,"$1,750,000.00 ",Qualified,FM,0.71,Residential,2021,3000,$583.33 ,34.2391999,-83.926477
56,08141 006012A,6513 BERMUDA LN,7/26/23,"$1,580,000.00 ",Qualified,FM,0.87,Residential,1978,2824,$559.49 ,34.1843562,-83.9556762
57,10017 000190,7141 BLUEBIRD CV,7/26/23,"$713,110.00 ",Qualified,FM,0.24,Residential,2022,1922,$371.02 ,34.353147,-83.9639557
58,01088 002001,1434 NW LONGVIEW DR,7/26/23,"$200,000.00 ",Qualified,FM,0.57,Residential,1954,1044,$191.57 ,34.3199701,-83.8362194
59,09071 002016,6022 COBB ST,7/26/23,"$310,000.00 ",Qualified,FM,1,Residential,1960,3410,$90.91 ,34.3899427,-83.670227
60,15042C000014,6632 QUINCY DR,7/26/23,"$320,000.00 ",Qualified,FM,0.59,Residential,1992,1444,$221.61 ,34.1444095,-83.8894366
61,15046F000005,5045 OLD ORR RD,7/26/23,"$315,000.00 ",Qualified,FM,0.78,Residential,1994,1306,$241.19 ,34.1639767,-83.9094278
62,08168 000071,6141 HUTCHINS DR,7/26/23,"$435,000.00 ",Qualified,FM,1.77,Residential,1972,1931,$225.27 ,34.1559923,-83.9784566
63,09113A001030,3215 THE TRAIL,7/25/23,"$247,500.00 ",Qualified,FM,0.46,Residential,1973,1176,$210.46 ,34.342967,-83.7885125
64,01084 001044,2679 NE LIMESTONE CREEK DR,7/25/23,"$526,971.00 ",Qualified,FM,0.23,Residential,2022,3884,$135.68 ,34.3257793,-83.8091582
65,15042F000017,5530 MADISON PL,7/25/23,"$775,000.00 ",Qualified,FM,2.1,Residential,1998,1143,$214.98 ,34.1397768,-83.859914
66,15039 000803,5959 GREEN ASH CT,7/25/23,"$419,990.00 ",Qualified,FM,0.16,Residential,2022,2612,$160.79 ,34.1291193,-83.8395497
67,15044G000075,4515 DEER CREEK CT,7/25/23,"$1,000,000.00 ",Qualified,FM,1.03,Residential,2005,5119,$195.35 ,34.1894785,-83.8751739
68,10115 000149,3710 CHEROKEE FRD,7/25/23,"$375,000.00 ",Qualified,FM,0.54,Residential,1977,1898,$197.58 ,34.3750852,-83.8644282
69,10097 000110,3937 FIELDSTONE DR,7/25/23,"$580,000.00 ",Qualified,FM,0.94,Residential,1992,4950,$117.17 ,34.3557748,-83.889002
70,12031 004005,5322 BETHEL RD,7/25/23,"$315,000.00 ",Qualified,FM,0.71,Residential,1977,1358,$231.96 ,34.4493489,-83.808951
71,00109A000004,2321 SPORTSMAN CLUB RD,7/25/23,"$200,000.00 ",Qualified,FM,0.63,Residential,1960,780,$256.41 ,34.3224368,-83.8698945
72,08113 001109,5414 TOWN SQUARE WAY,7/25/23,"$394,000.00 ",Qualified,FM,0.13,Residential,2020,1691,$233.00 ,34.1828247,-83.9220852
73,10030 001002,5312 LAWSON LAKE DR,7/25/23,"$330,000.00 ",Qualified,FM,0.62,Residential,2023,1296,$254.63 ,34.393928,-83.942683
74,15036C000305,3355 ABBEY WAY,7/25/23,"$310,000.00 ",Qualified,FM,0.04,Residential,2021,990,$313.13 ,34.2216181,-83.8548299
75,08024 006150,4494 SW SILVER OAK DR,7/25/23,"$502,868.00 ",Qualified,FM,0.19,Residential,2022,3038,$165.53 ,34.2532969,-83.8672029
76,10082 000091,3911 HIDDEN HOLLOW DR,7/25/23,"$190,000.00 ",Qualified,FM,0.28,Residential,1997,1134,$167.55 ,34.357934,-83.889639
77,10085 000075,2474 VENTURE DR,7/25/23,"$394,000.00 ",Qualified,FM,0.6,Residential,2000,1610,$244.72 ,34.3285887,-83.8953146
78,12019B000004,2720 QUILLIANS DR,7/25/23,"$330,000.00 ",Qualified,FM,1.27,Residential,1986,1776,$185.81 ,34.4439035,-83.8087852
79,15022I000054,3188 THORN BUSH DR,7/24/23,"$275,000.00 ",Qualified,FM,0.61,Residential,2007,1248,$220.35 ,34.2781873,-83.7570332
80,15047G000022,6763 WINDING CANYON RD,7/24/23,"$900,000.00 ",Qualified,FM,1.81,Residential,2022,4106,$219.19 ,34.161899,-83.913532
81,15039 000438,5934 CHIMNEY ROCK DR,7/24/23,"$500,000.00 ",Qualified,FM,0.17,Residential,2007,1852,$269.98 ,34.1177572,-83.8437036
82,15039 000705,5822 UNION GROVE DR,7/24/23,"$419,990.00 ",Qualified,FM,0.23,Residential,2022,2587,$162.35 ,34.1314509,-83.8397824
83,15042 000197,5615 WHITE TAIL RUN,7/24/23,"$529,500.00 ",Qualified,FM,0.59,Residential,2016,3284,$161.24 ,34.1382313,-83.86712
84,08112 024002,5734 MITCHELL ST,7/24/23,"$390,000.00 ",Qualified,FM,0.38,Residential,1915,1889,$206.46 ,34.184296,-83.9281299
85,08012 009074,4210 SW SWAMP CYPRESS TRL,7/24/23,"$374,000.00 ",Qualified,FM,0.14,Residential,2015,2073,$180.41 ,34.2531514,-83.8623989
86,08051 001253,3621 ACORN DR,7/24/23,"$314,000.00 ",Qualified,FM,0.05,Residential,2021,1700,$184.71 ,34.224403,-83.878726
87,10054 000010,4958 RED OAK DR,7/21/23,"$390,000.00 ",Qualified,FM,0.5,Residential,1978,1756,$222.10 ,34.3871964,-83.9106692
88,08023 002037,3623 WINDY HILL DR,7/21/23,"$302,500.00 ",Qualified,FM,0.44,Residential,1973,1385,$218.41 ,34.2642693,-83.8821259
89,15035B009008,13 N AVE,7/21/23,"$250,000.00 ",Qualified,FM,0.25,Residential,1926,960,$260.42 ,34.25624674,-83.83910863
90,08026 000151,2692 SW CREEK MILL LN,7/21/23,"$240,000.00 ",Qualified,FM,0.02,Residential,2005,1512,$158.73 ,34.2434797,-83.8555962
91,08101 001030,5928 RIVER RD,7/21/23,"$594,000.00 ",Qualified,FM,0.57,Residential,1999,2442,$243.24 ,34.2168748,-83.9340869
92,08111 003320,6050 TRUMPET FLOWER AVE,7/21/23,"$425,000.00 ",Qualified,FM,0.14,Residential,2021,1749,$243.00 ,34.1905001,-83.9275507
93,08138 001131,6329 WATER HAVEN WAY,7/21/23,"$315,000.00 ",Qualified,FM,0.8,Residential,1998,2332,$135.08 ,34.1566,-83.9450066
94,15039S000022,6654 AUTUMN RIDGE WAY,7/21/23,"$435,000.00 ",Qualified,FM,0.13,Residential,2013,1244,$349.68 ,34.1354467,-83.8512574
95,15039 000734,6008 HICKORY CREEK CT,7/21/23,"$473,570.00 ",Qualified,FM,0.47,Residential,2022,3007,$157.49 ,34.1298818,-83.8426303
96,15042 000412,6890 LANCASTER XING,7/21/23,"$483,000.00 ",Qualified,FM,0.19,Residential,2019,3493,$138.28 ,34.1370316,-83.8873668
97,10027 000013,5464 COOL SPRINGS RD,7/21/23,"$150,000.00 ",Qualified,FM,2.78,Residential,1920,1044,$143.68 ,34.3703769,-83.9547665
98,11134 000133,5440 FISHERMANS CV,7/21/23,"$1,119,996.00 ",Qualified,FM,1.75,Residential,2022,2794,$400.86 ,34.4091786,-83.9556142
99,15047 000553,7537 BROOKSTONE CIR,7/21/23,"$549,900.00 ",Qualified,FM,0.21,Residential,2008,3094,$177.73 ,34.1415385,-83.9066137
100,12040 000034,6016 CREEKSIDE VIEW LN,7/21/23,"$455,000.00 ",Qualified,FM,1.06,Residential,2019,2794,$162.85 ,34.4751587,-83.7925552
101,01080 001064,1717 NE SAWGRASS CV,7/21/23,"$365,000.00 ",Qualified,FM,0.24,Residential,2007,2132,$171.20 ,34.3251042,-83.8137591
102,08044A000034,3744 OAKWOOD HILLS DR,7/21/23,"$295,000.00 ",Qualified,FM,0.85,Residential,1988,1680,$175.60 ,34.2374358,-83.8803886
103,08117 001016,5723 BRIDGEPORT CT,7/21/23,"$340,000.00 ",Qualified,FM,0.13,Residential,2006,2040,$166.67 ,34.1772937,-83.9230825
104,08132 000043,6236 SOUTH HALL DR,7/21/23,"$198,000.00 ",Qualified,FM,0.54,Residential,1988,0,$0.00 ,34.178209,-83.9459992
105,08169 003137,129 HOLIDAY RD,7/21/23,"$375,000.00 ",Qualified,FM,0.05,Residential,2006,1601,$234.23 ,34.1452042,-83.9730413
106,10102 000024,4221 TALL HICKORY TRL,7/20/23,"$1,240,000.00 ",Qualified,FM,0.6,Residential,1996,2696,$459.94 ,34.3882828,-83.8675341
107,15041 000625,5694 MIRAVISTA WAY,7/20/23,"$775,140.00 ",Qualified,FM,0.2,Residential,2023,2569,$301.73 ,34.1020727,-83.865117
108,10024 000109,5918 BELAFONTE WALK,7/20/23,"$422,840.00 ",Qualified,FM,0.23,Residential,2023,2508,$168.60 ,34.3487489,-83.9517351
109,10102 000015,4257 TALL HICKORY TRL,7/20/23,"$1,800,000.00 ",Qualified,FM,1.1,Residential,1989,4388,$410.21 ,34.3883193,-83.8712817
110,15048B000027,3219 HERITAGE WAY,7/20/23,"$435,000.00 ",Qualified,FM,1.68,Residential,1988,1710,$254.39 ,34.1174018,-83.9019784
111,08065 000265,5132 GOLDEN OAK CV,7/20/23,"$505,000.00 ",Qualified,FM,0.16,Residential,2021,2851,$177.13 ,34.2402307,-83.9112486
112,15047 000751,6917 CREEKSTONE PL,7/20/23,"$432,000.00 ",Qualified,FM,0.12,Residential,2014,2204,$196.01 ,34.1515137,-83.8990812
113,08075 002057,4418 MCBRAYER RD,7/20/23,"$294,000.00 ",Qualified,FM,0.74,Residential,1996,1298,$226.50 ,34.2133326,-83.9085756
114,09052A000031,5341 MOUNTAIN VIEW PKWY,7/19/23,"$290,000.00 ",Qualified,FM,0.65,Residential,2004,1147,$252.83 ,34.4090851,-83.654771
115,15024 000107,3204 ROY PARKS RD,7/19/23,"$130,000.00 ",Qualified,FM,0.93,Residential,1900,0,$0.00 ,34.2336579,-83.7571992
116,08065 000252,5248 NOBLE OAK CV,7/19/23,"$424,000.00 ",Qualified,FM,0.17,Residential,2021,1731,$244.95 ,34.2405068,-83.9107106
117,01125 005013,682 SW AUBURN AVE,7/18/23,"$175,000.00 ",Qualified,FM,0.24,Residential,1950,908,$192.73 ,34.286912,-83.8337748
118,01084 001041,2697 NE LIMESTONE CREEK DR,7/18/23,"$489,750.00 ",Qualified,FM,0.23,Residential,2022,1528,$320.52 ,34.3253304,-83.8088266
119,09124 000237,3763 NE SHADES VALLEY LN,7/18/23,"$315,000.00 ",Qualified,FM,0.05,Residential,2019,1506,$209.16 ,34.3286164,-83.7977584
120,15041D000140,6171 BAYBROOK TRCE,7/18/23,"$619,000.00 ",Qualified,FM,0.3,Residential,2005,4397,$140.78 ,34.1242473,-83.8654635
121,15043D000035,5249 BOWMAN SPRINGS TRL,7/18/23,"$380,000.00 ",Qualified,FM,0.27,Residential,1998,1980,$191.92 ,34.1539458,-83.8774719
122,15037B000100,4491 HIDDEN OAKS DR,7/18/23,"$339,000.00 ",Qualified,FM,0.61,Residential,1993,1700,$199.41 ,34.186128,-83.8492691
123,15048 000100,6355 BLACKJACK RD,7/18/23,"$527,000.00 ",Qualified,FM,1.42,Residential,2007,2413,$218.40 ,34.122417,-83.8965564
124,10102 000041,4221 WILLOW OAK DR,7/18/23,"$307,000.00 ",Qualified,FM,0.62,Residential,1997,3500,$87.71 ,34.3890867,-83.872379
125,08053 004004A,4021 OAKWOOD RD,7/17/23,"$320,000.00 ",Qualified,FM,0.44,Residential,1963,1322,$242.06 ,34.2353358,-83.8919617
126,10052A000042,4858 FOREST BLVD,7/17/23,"$310,000.00 ",Qualified,FM,0.45,Residential,1987,1588,$195.21 ,34.3880754,-83.93055
127,15042 000720,6787 CAMBRIDGE DR,7/17/23,"$522,400.00 ",Qualified,FM,0.21,Residential,2022,2958,$176.61 ,34.1408312,-83.8880084
128,09113A001066,3342 LODGE OVLK,7/17/23,"$250,000.00 ",Qualified,FM,0.33,Residential,1973,1176,$212.59 ,34.3460183,-83.7890516
129,10011D000096,6739 OAKWOOD TRL,7/17/23,"$265,000.00 ",Qualified,FM,0.8,Residential,1970,773,$342.82 ,34.387914,-83.9661786
130,12047 000087,4406 HIGHLAND GATE PKWY,7/17/23,"$410,000.00 ",Qualified,FM,0.35,Residential,2018,2324,$176.42 ,34.4108289,-83.7880565
131,01107 001101,3061 NW STILLWATER DR,7/17/23,"$615,000.00 ",Qualified,FM,0.58,Residential,2001,2842,$216.40 ,34.3564031,-83.8760642
132,01084 004052,1468 NE KENSINGTON PL,7/17/23,"$525,000.00 ",Qualified,FM,0.49,Residential,1990,2980,$176.17 ,34.3258102,-83.8176064
133,08140 000155,6370 GREEN OAK RDG,7/17/23,"$457,000.00 ",Qualified,FM,0.46,Residential,2001,2566,$178.10 ,34.1775354,-83.9556142
134,09079B000124,6373 WOODLAND STATION DR,7/17/23,"$384,900.00 ",Qualified,FM,0.5,Residential,2021,2540,$151.54 ,34.409639,-83.6922079
135,15028A001013,4217 BENEFIELD RD,7/17/23,"$530,000.00 ",Qualified,FM,3.51,Residential,1989,1561,$339.53 ,34.1652879,-83.815175
136,01117 004015,807 NW LAKESHORE DR,7/17/23,"$276,000.00 ",Qualified,FM,0.69,Residential,1986,1742,$158.44 ,34.3000761,-83.8497247
137,01114 001008,1093 NW DIXON DR,7/17/23,"$1,038,538.00 ",Qualified,FM,1.99,Residential,1955,2517,$412.61 ,34.3073856,-83.8472393
138,15026C000016,4379 RUSTIC OAK LN,7/14/23,"$429,900.00 ",Qualified,FM,0.58,Residential,2005,2461,$174.69 ,34.1556461,-83.783744
139,15048 001127,3357 LONG CREEK DR,7/14/23,"$445,000.00 ",Qualified,FM,0.15,Residential,2019,1800,$247.22 ,34.114862,-83.9049169
140,10075 000004A,4367 SARDIS RD,7/14/23,"$400,000.00 ",Qualified,FM,3.06,Residential,1963,1189,$336.42 ,34.3744552,-83.9002401
141,10116 000077,3822 ALEXANDRIA DR,7/14/23,"$535,000.00 ",Qualified,FM,0.59,Residential,1995,3266,$163.81 ,34.3783007,-83.8622332
142,08141 004011,6528 BERMUDA LN,7/14/23,"$310,000.00 ",Qualified,FM,0.31,Residential,1986,1816,$170.70 ,34.1843405,-83.954477
143,08044 004017,4210 OAKWOOD RD,7/14/23,"$152,000.00 ",Qualified,FM,0.03,Residential,2003,1406,$108.11 ,34.2276356,-83.8813837
144,10140 000035,3346 NOTTINGHAM FOREST DR,7/14/23,"$1,075,000.00 ",Qualified,FM,1.38,Residential,2000,2583,$416.18 ,34.3735792,-83.8138834
145,11105 000005A,6035 YELLOW CREEK RD,7/14/23,"$385,000.00 ",Qualified,FM,0.86,Residential,2020,1778,$216.54 ,34.4313187,-83.9297433
146,15041 000488,5253 MORRELL RD,7/14/23,"$242,465.00 ",Qualified,FM,0.07,Residential,2023,2066,$117.36 ,34.101299,-83.862627
147,10072 003050,2818 FRAN MAR DR,7/14/23,"$259,000.00 ",Qualified,FM,0.34,Residential,1970,1329,$194.88 ,34.3426363,-83.9006126
148,10081 000067,4317 OAK CREEK DR,7/14/23,"$335,000.00 ",Qualified,FM,0.48,Residential,1986,1682,$199.17 ,34.3689696,-83.8985017
149,10047A000025,3490 MONTVALE DR,7/14/23,"$1,000,000.00 ",Qualified,FM,0.42,Residential,1976,2018,$495.54 ,34.3362985,-83.9322254
150,12022A000088,4742 THUNDER RIVER DR,7/14/23,"$615,000.00 ",Qualified,FM,0.5,Residential,2007,2454,$250.61 ,34.4172536,-83.816909
151,10079 001074,4115 LORI LN,7/14/23,"$320,000.00 ",Qualified,FM,0.36,Residential,2004,1350,$237.04 ,34.3805575,-83.8892296
152,08016 002056,3416 SW BLUE SPRUCE CT,7/14/23,"$625,000.00 ",Qualified,FM,0.17,Residential,2014,2812,$222.26 ,34.2851917,-83.8879256
153,15028 000256,4115 GENTLE BREEZE WAY,7/14/23,"$973,780.00 ",Qualified,FM,1.42,Residential,2022,3812,$255.45 ,34.1601271,-83.7953123
154,10068 000039,3311 DAVIS BRIDGE RD,7/14/23,"$330,000.00 ",Qualified,FM,0.77,Residential,1920,880,$375.00 ,34.309291,-83.9096347
155,15039 000837,6018 WHITE SYCAMORE PL,7/14/23,"$476,480.00 ",Qualified,FM,0.17,Residential,2022,3007,$158.46 ,34.1291343,-83.8409263
156,15028J000005,1024 REGENCY PARK DR,7/14/23,"$400,000.00 ",Qualified,FM,0.86,Residential,2002,1878,$212.99 ,34.1654477,-83.8098214
157,08169 003072,119 HOLIDAY RD,7/14/23,"$376,000.00 ",Qualified,FM,0.18,Residential,2004,1566,$240.10 ,34.1459303,-83.9712404
158,15046D000031,4652 LAUREL BROOK DR,7/14/23,"$341,900.00 ",Qualified,FM,1.34,Residential,1992,1320,$259.02 ,34.1809482,-83.8937831
159,08031A004044,4684 SW HIDDEN CREEK DR,7/14/23,"$354,000.00 ",Qualified,FM,0.14,Residential,2016,1546,$228.98 ,34.2484941,-83.8816583
160,10011 000094,6145 CARDINAL DR,7/14/23,"$90,000.00 ",Qualified,FM,0.34,Residential,2022,3152,$28.55 ,34.3899858,-83.9727313
161,11134 000131,5432 FISHERMANS CV,7/14/23,"$850,670.00 ",Qualified,FM,1.46,Residential,2022,2794,$304.46 ,34.4082946,-83.9552006
162,01104 002033,311 NE HUDSON CHASE CT,7/13/23,"$550,000.00 ",Qualified,FM,0.24,Residential,2022,3272,$168.09 ,34.3492279,-83.848769
163,10058A000046,4503 SUMMER GATE CT,7/13/23,"$490,000.00 ",Qualified,FM,0.59,Residential,2006,2094,$234.00 ,34.3577906,-83.918706
164,1.50E+10,4764 GATEWAY LN,7/13/23,"$742,400.00 ",Qualified,FM,6.1,Residential,1984,2881,$257.69 ,34.182519,-83.8640762
165,01095 001019K,2162 NE PINE TREE CIR,7/13/23,"$375,000.00 ",Qualified,FM,0.86,Residential,1975,1912,$196.13 ,34.3408516,-83.8235813
166,08012 009094,4341 SW BOX ELDER PATH,7/13/23,"$386,000.00 ",Qualified,FM,0.21,Residential,2014,2172,$177.72 ,34.2511915,-83.8647181
167,08015B000007,2869 SW FLORENCE DR,7/13/23,"$205,000.00 ",Qualified,FM,0.03,Residential,1997,984,$208.33 ,34.2752936,-83.8735702
168,08024 005286,4340 SW PLEASANT GARDEN DR,7/13/23,"$395,000.00 ",Qualified,FM,0.15,Residential,2018,1786,$221.16 ,34.2539037,-83.871349
169,01042 002003,639 NW CRESTVIEW TER,7/12/23,"$275,000.00 ",Qualified,FM,0.52,Residential,1958,1653,$166.36 ,34.3055963,-83.8348521
170,00133C000033,1198 VILLA CLARA WAY,7/12/23,"$277,000.00 ",Qualified,FM,0.47,Residential,2017,2204,$125.68 ,34.266856,-83.8445069
171,15042 000305,5831 MULBERRY HOLW,7/12/23,"$555,000.00 ",Qualified,FM,0.59,Residential,2006,3071,$180.72 ,34.1357921,-83.869439
172,01084 001050,2619 NE LIMESTONE CREEK DR,7/12/23,"$501,000.00 ",Qualified,FM,0.2,Residential,2022,1482,$338.06 ,34.327128,-83.809884
